rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
67,cate6-00123_jpg.rf.4908a9aab82c38f83005ec64c6071d98.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.556",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
68,cate6-00123_jpg.rf.932167347b283ea6c32564cbab145398.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.557",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
69,cate6-00123_jpg.rf.c8e735c051fed483e84298a9cb8f17b3.txt,cate6-00123,32,1,26x2,1,27,1,0,False,"26: expected image-upper (y<=0.55), got y=0.554",5.05,duplicate_codes,"duplicate_codes(+3.0), single_axis_position(+2.0), missing_codes(+0.05)"
70,cate4-00111_jpg.rf.1d271e4bcca3671a387db2ec5f0d4341.txt,cate4-00111,33,1,12x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
71,cate2-00029_jpg.rf.3b2920f66e2a769e3a3f6e4535ba5549.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
72,cate2-00029_jpg.rf.12ba5d7beb113dd5e23698ef2c98dff5.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
73,cate2-00029_jpg.rf.18be40d73e21136c043b185eece71e07.txt,cate2-00029,33,1,41x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
74,cate1-00047_jpg.rf.bcf913fc3b431f25462c25c32c8435d7.txt,cate1-00047,33,1,23x2,0,-,0,0,False,-,5.0,duplicate_codes,"duplicate_codes(+3.0), overcount(+2.0)"
75,cate8-00263_jpg.rf.47776feb05a736b62558cca5fb2c532d.txt,cate8-00263,17,0,-,15,"11, 12, 13, 14, 16, 18, 21, 22, 25, 26, 28, 36, 38, 47, 48",2,0,False,"24: expected image-upper (y<=0.55), got y=0.556; 23: expected image-upper (y<=0.55), got y=0.552",4.75,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.75)"
76,cate8-00089_jpg.rf.5851642e5be77ef0f87b5df7a27a6e75.txt,cate8-00089,25,0,-,7,"16, 18, 26, 28, 38, 46, 48",2,0,False,"11: expected image-upper (y<=0.55), got y=0.554; 21: expected image-upper (y<=0.55), got y=0.553",4.35,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.35)"
