noise_std,seed,classifier,top1_acc,quadrant_acc,tooth_type_acc,majority_baseline_acc,mirror_quadrant_error_frac,neighbor_error_frac,n_test
0.16,4,logistic_regression,0.09014254165830154,0.4986950411563943,0.16683396908251355,0.03854647661112227,0.0264783759929391,0.1445278022947926,4981
0.16,4,gradient_boosted_tree,0.1098173057618952,0.5711704477012648,0.18711102188315598,0.03854647661112227,0.033152909336941816,0.17410915651781686,4981
0.32,0,logistic_regression,0.05044618466581679,0.3631396831178292,0.1389546530686578,0.03533054088508469,0.03068661296509398,0.0887993862677407,5491
0.32,0,gradient_boosted_tree,0.058823529411764705,0.387725368785285,0.1384083044982699,0.03533054088508469,0.026702786377708978,0.08784829721362229,5491
0.32,1,logistic_regression,0.05859228753275927,0.3790715087982029,0.14676151254211905,0.03706476974915762,0.029628156691191093,0.09504871743885464,5342
0.32,1,gradient_boosted_tree,0.06214900786222389,0.4213777611381505,0.13777611381505053,0.03706476974915762,0.024151696606786427,0.10179640718562874,5342
0.32,2,logistic_regression,0.059256722041445456,0.37044014386025004,0.14043500599417708,0.034594964891248504,0.028217731658474424,0.0963043874021482,5839
0.32,2,gradient_boosted_tree,0.062510703887652,0.41068676143175203,0.1443740366501113,0.034594964891248504,0.0288637194008038,0.10065765436609427,5839
0.32,3,logistic_regression,0.053245436105476676,0.37897227856659904,0.13167680865449627,0.03583502366463827,0.024102838778789503,0.09444742010355293,5916
0.32,3,gradient_boosted_tree,0.06237322515212982,0.4158215010141988,0.12931034482758622,0.03583502366463827,0.021272760050477735,0.09085992428339643,5916
0.32,4,logistic_regression,0.0578197149166834,0.37863882754466976,0.1377233487251556,0.03854647661112227,0.025143831238014065,0.08928190922650757,4981
0.32,4,gradient_boosted_tree,0.061834972897008636,0.43043565549086527,0.13832563742220438,0.03854647661112227,0.025893430344532422,0.09479991440188316,4981
